TIPO,HABILIDADE,AFIRMAÇÃO
Realista,Operar equipamentos,Operar equipamentos eletrônicos ou mecânicos
Realista,Construir,"Erguer estruturas de todo tipo, executar projetos de construção"
Realista,Executar procedimentos técnicos,Usar ferramentas eletrônicas ou mecânicas para obter resultados específicos em intervenções técnicas
Realista,Reparar/consertar,"Diagnosticar e corrigir problemas no funcionamento de equipamentos mecânicos, eletrônicos ou organismos vivos"
Realista,Utilizar coordenação corporal,"Usar o corpo com destreza, equilíbrio e precisão de movimentos"
Realista,Manipular com precisão,"Usar destreza e precisão na manipulação de objetos, ferramentas e máquinas"
Realista,Lidar com carpintaria,"Construir, reformar ou fazer a manutenção de estruturas e objetos."
Realista,Usar força física,"Usar força e resistência em atividades físicas, suportar desgaste físico"
Realista,Transportar,Dirigir veículos transportando passageiros ou produtos
Realista,Lidar com animais,"Alimentar, reproduzir, treinar ou expor animais domésticos ou do campo"
Realista,Cultivar plantas,"Cultivar vegetais para fins ornamentais ou de alimentação. Preparar o solo, semear, fertilizar, eliminar pragas, colher, etc."
Realista,Usar habilidades mecânicas,"Montar, ajustar, consertar, usando ferramentas e/ou o próprio corpo"
Investigativo,Resolver problemas lógicos,Identificar as causas de um problema prático ou teórico e propor uma solução
Investigativo,Investigar,"Pesquisar, utilizando a observação, leituras ou entrevistas para descobrir ou testar hipóteses científicas"
Investigativo,Sintetizar,"Articular fatos, conceitos ou ideias revelando seus padrões significativos de interação"
Investigativo,Escrever,Demonstrar hablidades no uso da linguagem escrita para a explanação de conceitos complexos
Investigativo,Produzir ideias,"Refletir, conceber novas e criativas ideias, teorias ou processos"
Investigativo,Conceituar,Usar modelos teóricos para entender fenômenos humanos nou naturais
Investigativo,Observar,"Estudar, escrutinar, examinar com atenção dados, pessoas ou coisas"
Investigativo,Ler/estudar,Pesquisar e explorar fontes escritas exaustivamente e aprofundar conhecimentos
Investigativo,Inventar,"Criar um novo produto, conceito ou processo através do estudo teórico e/ou empírico"
Investigativo,Calcular,Usar a matemática para compreender e resolver problemas complexos
Investigativo,Inovar,"Inovar procedimentos estabelecidos, desenvolver alternativas"
Investigativo,Visualizar,Habilidade de perceber e antecipar futuras tendências e possibilidades
Artistico,Entreter,"Apresentar obra artística, entreter o público com recursos cênicos e/ou de oratória"
Artistico,Redação criativa,"Expressar-se criativamente através de produções literárias ou jornalísticas (livros, contos, poesias)"
Artistico,Composição musical,Compor ou arranjar peças musicais
Artistico,Produzir artezanatos,"Usar inventividade, motricidade fina e senso estético para produzir objetos belos e incomuns"
Artistico,Utilizar a intuição,Contar com pressentimentos e outros estados subjetivos peculiares como base para a percepção ou tomada de decisões
